SKU,S1,S2,S3,S4
04-01-2015,100,0,600,910
05-01-2015,300,1510,1520,619
06-01-2015,719,2520,355,860
07-01-2015,320,1899,1045,700
08-01-2015,259,999,430,350
09-01-2015,140,3240,880,1140
10-01-2015,180,1960,805,480
11-01-2015,340,1520,740,879
12-01-2015,760,2019,780,840
01-01-2016,603,1490,881,471
02-01-2016,40,1447,745,642
03-01-2016,139,1500,985,1000
04-01-2016,140,1589,880,320
05-01-2016,460,820,1200,640
06-01-2016,720,1020,770,760
07-01-2016,120,1200,400,960
08-01-2016,0,1539,800,620
09-01-2016,60,3018,1040,745
10-01-2016,500,1080,803,670
11-01-2016,260,1190,890,820
12-01-2016,600,1469,710,815
01-01-2017,680,1756,725,590
02-01-2017,60,1099,380,250
03-01-2017,380,1626,750,640
04-01-2017,196,1920,920,800
05-01-2017,0,2039,1280,1040
06-01-2017,540,1380,270,285
07-01-2017,340,1310,980,500
08-01-2017,0,1500,460,790
09-01-2017,740,1158,785,1156
10-01-2017,480,1060,465,270
11-01-2017,240,1543,644,374
12-01-2017,280,1868,865,660
01-01-2018,558,1576,800,560
02-01-2018,158,1550,790,580
03-01-2018,324,1785,1766,1446
04-01-2018,102,1280,338,348
05-01-2018,900,1469,490,350
06-01-2018,240,2172,1225,1000
07-01-2018,399,959,320,239
08-01-2018,600,956,590,340
09-01-2018,280,1220,320,370
10-01-2018,404,1114,429,485
11-01-2018,500,1740,920,780
12-01-2018,360,2040,720,880
01-01-2019,60,840,290,397
02-01-2019,240,1020,320,400
03-01-2019,340,870,480,440
04-01-2019,260,1358,740,660
05-01-2019,240,1200,440,440
06-01-2019,279,1869,565,325
07-01-2019,540,690,400,240
08-01-2019,0,120,80,40
09-01-2019,300,1080,225,160
10-01-2019,420,540,640,480
11-01-2019,420,1660,875,590
12-01-2019,360,1560,480,425
01-01-2020,240,778,240,320
02-01-2020,120,1200,310,520
03-01-2020,0,360,80,80
04-01-2020,0,0,0,0
05-01-2020,60,420,160,80
06-01-2020,700,1206,620,245
07-01-2020,240,1555,405,360
08-01-2020,240,1100,880,955
09-01-2020,380,1560,806,349
10-01-2020,320,1469,600,260
11-01-2020,360,1240,375,500
12-01-2020,160,1130,760,390
01-01-2021,600,1748,478,270
02-01-2021,240,889,395,195
03-01-2021,620,1790,715,345
04-01-2021,179,514,400,420
05-01-2021,60,590,100,0
06-01-2021,420,1880,1010,1015
07-01-2021,400,1049,560,355
08-01-2021,60,1437,175,270
09-01-2021,540,1856,595,515
10-01-2021,120,609,460,190
11-01-2021,440,1689,775,495
12-01-2021,280,1140,300,150
01-01-2022,320,940,595,360
02-01-2022,180,1200,270,320
03-01-2022,480,809,470,205
04-01-2022,280,1529,505,494
05-01-2022,0,920,195,335
06-01-2022,120,515,335,420
